comment,sentiment
thanks for sharing the update banking apps here can be so hit or miss with features desktop first seems to be the way for most business accounts in uae anyway,Neutral
View in your timezone March 20 2026 0554 UTC0 0,Neutral
This reads like it was written by a GPT trained on MLM pitch decks Blockchain verification layer and smart contract autorenewal for a prop firm discount code is genuinely unhinged Fwiw clean your list with Truelist before blasting this affiliate spam at least make the hustle efficient,Negative
View in your timezone March 20 2026 0532 UTC0 March 20 2026 1132 UTC1 0 1,Neutral
Remote,Neutral
5 years experience but from Kenya,Neutral
Congratulations on the offer Mobile number you can get on arrival and update the Emirates id once you have a physical copy delivered Some Bank accounts you can apply for before EID later update EID by giving them pdf But most importantly EID depends on the medical test and finger print for which you would need to schedule both appointments at the earliest if you have 20 day hard stop You can checkout high priority options by paying some extra fee,Neutral
Thank you,Neutral
DMed you,Neutral
If youre into the points game but like flexibility then get the Amex platinum credit card the plastic one not the metal charge card It has a fee waiver and gives you 05 points per 1 AED,Neutral
Share card for sure would be best for you,Positive
Replied back,Neutral
is there any main difference between the charge card and the regular card also thanks for the help,Neutral
uADHDNorge please reply to this comment with submission statement and files numbers or link to them if posting a released file Your submission statement must explain why your post is relevant to the rEpstein community Posts without a submission statement might be removed at the discretion of the moderators I am a bot and this action was performed automatically Please contact the moderators of this subredditmessagecomposetorEpstein if you have any questions or concerns,Neutral
They didnt receive the money from his will anyway and probably will never receive Even if so i am pretty sure they will give up the inheritance because of circumstances At the time of Epsteins death they were approx 1920 if their birth year provided by you is correct So if they were socializing with Epstein in their life maybe treated him as an uncle family friend it was because their parents raised them that way and normalized that They were kids and teenagers for the entirety of their relationship with Epstein no matter how close it was Minors They should be left alone in my opinion They are at the age now when they can consider their next professional move or setting up their own families We should respect their privacy The public should go after their parents they have associated with Epstein for long Thats enough proof Lets not drag someone who was a kid and a teenager then into this circus,Negative
I partly agree I do not want to harass them But I do want to know where they work today I want to see if they have a regular job or if they are still part of the corruption network I have mostly read about Epsteins Norwegian friends When I wrote my opening post I just assumed Epstein operated the same way in every country But that might not be the case In Norway Epstein collaborated with families where economic crime is a family business Its similar to Donald Trumps family That is why I assumed this was how Epstein operated in every country Terjes chief of staff got fired because of her and Terjes Epstein relations They worked in USA Terjes assistant got hired in the Norwegian Intelligence Service after she got fired in USA because of Epstein I want to see if there is something similar with Terje and Monas twins Terjes oldest daughter is 52 and she had an economic relation with Epstein When I wrote where do they live it is partly because there are rumors they are living in Israel and work for the Israel intelligence It is not far fetched because their parents were bribed by Israel,Negative
I would sell Haaland so you have a big budget to bring in a better striker and if you want him back in 32 wildcard him If youre going for banking FTs its an ok team,Neutral
Guehi out Thiaw looks ok Forest defence has improved if you want to take a punt on Williams too over Mukiele Save the last transfer,Neutral
Thiaw is rotation risk,Negative
maybe the tools help,Neutral
3 years in Poland I should speak Polish Ive heard its a really tough language to learn Have you thought looking for senior positions in Spain,Neutral
You are underpaid I used to be a PM in Poland not a technical one not lead engineer and I earned the same as you now but it was 6 years ago And even then I knew the competitors on the market would pay me more Check IT jobs postings on just join a lot of them have salary range provided Instead of waiting for a rise search for a new job,Negative
